Player,Season,Team,Type,Minutes,POS,Age,LEBRON,O-LEBRON,D-LEBRON,WAR,BOX-LEBRON,BOX-O-LEBRON,BOX-D-LEBRON
Jeff Green,2022-23,DEN,Stretch Big,"1,091",PF,36,-3.14,-1.82,-1.32,-0.5,-1.98,-1.19,-0.79
Ziaire Williams,2022-23,MEM,Stationary Shooter,561,SF,21,-3.15,-1.75,-1.4,-0.2,-2.82,-2.06,-0.76
Goran Dragic,2022-23,CHI/MIL,Secondary Ball Handler,870,PG,36,-3.18,-0.76,-2.42,-0.4,-2.06,-0.76,-1.29
Jordan Nwora,2022-23,MIL/IND,Stationary Shooter,"1,188",SF,24,-3.23,-1.26,-1.97,-0.6,-1.42,-0.73,-0.69
Lonnie Walker IV,2022-23,LAL,Secondary Ball Handler,"1,297",SG,24,-3.26,-1.71,-1.55,-0.7,-1.46,-0.63,-0.83
Killian Hayes,2022-23,DET,Primary Ball Handler,"2,154",PG,21,-3.27,-1.96,-1.31,-1.1,-1.97,-1.38,-0.59
Austin Rivers,2022-23,MIN,Stationary Shooter,"1,016",SG,30,-3.27,-2.09,-1.18,-0.5,-2.61,-2.09,-0.53
Doug McDermott,2022-23,SAS,Movement Shooter,"1,314",SF,31,-3.37,-0.63,-2.74,-0.8,-3.34,-1.16,-2.18
Malaki Branham,2022-23,SAS,Secondary Ball Handler,"1,550",SF,19,-3.44,-1.32,-2.12,-1,-3.78,-1.98,-1.79
Jake LaRavia,2022-23,MEM,Movement Shooter,414,PF,21,-3.69,-2.33,-1.36,-0.3,-2.82,-2.29,-0.54
Simone Fontecchio,2022-23,UTA,Off Screen Shooter,766,SF,27,-3.71,-1.39,-2.32,-0.6,-2.4,-0.71,-1.69
Jaden Ivey,2022-23,DET,Primary Ball Handler,"2,304",SG,21,-3.72,-1.69,-2.03,-1.8,-2.46,-0.79,-1.67
JT Thor,2022-23,CHO,Athletic Finisher,969,PF,20,-3.72,-3.4,-0.32,-0.8,-3.21,-3.08,-0.12
Justin Holiday,2022-23,ATL/DAL,Movement Shooter,706,SG,34,-3.72,-2.65,-1.07,-0.6,-2.02,-1.64,-0.38
Robin Lopez,2022-23,CLE,Post Scorer,299,C,35,-4.17,-3.14,-1.03,-0.3,-3.1,-2.37,-0.73
Blake Wesley,2022-23,SAS,Slasher,669,SG,20,-5.08,-4.09,-0.99,-1.1,-4.06,-3.57,-0.5
