Player,Season,Team,Type,Minutes,POS,Age,LEBRON,O-LEBRON,D-LEBRON,WAR,BOX-LEBRON,BOX-O-LEBRON,BOX-D-LEBRON
Royce O'Neale,2022-23,BRK,Stationary Shooter,"2,409",SF,29,-0.87,-1.3,0.44,2.4,-1.08,-1.33,0.25
Terance Mann,2022-23,LAC,Stationary Shooter,"1,872",SG,26,-0.88,-0.06,-0.81,1.8,-1.12,-0.76,-0.36
Justin Champagnie,2022-23,TOR/BOS,Low Minute,34,SF,21,-0.88,-0.23,-0.65,0,-0.85,-0.33,-0.51
Kira Lewis Jr.,2022-23,NOP,Secondary Ball Handler,235,PG,22,-0.88,-0.37,-0.51,0.2,-1,-0.77,-0.23
Nickeil Alexander-Walker,2022-23,UTA/MIN,Secondary Ball Handler,884,SG,24,-0.89,-0.84,-0.05,0.9,-1.12,-0.84,-0.27
Justin Minaya,2022-23,POR,Low Minute,89,SF,24,-0.89,-0.74,-0.15,0.1,-0.68,-0.76,0.08
Quenton Jackson,2022-23,WAS,Slasher,135,PG,24,-0.89,-0.66,-0.23,0.1,-0.81,-0.5,-0.32
Anthony Gill,2022-23,WAS,Athletic Finisher,625,PF,30,-0.9,-0.75,-0.15,0.6,-2.12,-1.8,-0.32
Aaron Holiday,2022-23,ATL,Secondary Ball Handler,845,PG,26,-0.91,-1.32,0.42,0.8,-2.31,-2.02,-0.29
Ish Wainright,2022-23,PHO,Stationary Shooter,915,SF,28,-0.91,-1.01,0.1,0.9,-1.24,-1.7,0.46
Michael Foster Jr.,2022-23,PHI,Low Minute,1,PF,20,-0.94,-0.3,-0.64,0,-0.91,-0.28,-0.63
Jacob Gilyard,2022-23,MEM,Low Minute,41,PG,24,-0.94,-0.49,-0.46,0,-0.93,-0.55,-0.39
Gorgui Dieng,2022-23,SAS,Stretch Big,358,C,33,-0.94,-1.24,0.3,0.3,-0.62,-1.03,0.41
Naji Marshall,2022-23,NOP,Stationary Shooter,"1,792",SF,25,-0.96,-0.34,-0.62,1.7,-1.07,-0.98,-0.09
RaiQuan Gray,2022-23,BRK,Low Minute,35,PF,23,-0.97,-0.28,-0.68,0,-0.93,-0.25,-0.68
Jaden Springer,2022-23,PHI,Low Minute,89,SG,20,-0.97,-0.51,-0.46,0.1,-1.08,-0.6,-0.47
Nikola Jovic,2022-23,MIA,Stretch Big,204,PF,19,-0.97,-0.84,-0.13,0.2,-0.81,-0.91,0.1
Jack White,2022-23,DEN,Low Minute,66,SF,25,-0.97,-0.61,-0.36,0.1,-1.01,-0.6,-0.4
Alondes Williams,2022-23,BRK,Low Minute,5,SG,23,-0.98,-0.25,-0.73,0,-0.94,-0.24,-0.7
Bones Hyland,2022-23,DEN/LAC,Secondary Ball Handler,"1,086",PG,22,-0.99,0.86,-1.85,1,0.09,1.27,-1.18
Udoka Azubuike,2022-23,UTA,Roll + Cut Big,359,C,23,-0.99,-2.21,1.21,0.3,-0.9,-2.11,1.21
Anfernee Simons,2022-23,POR,Primary Ball Handler,"2,171",SG,23,-1.01,0.4,-1.4,2,-0.79,1.26,-2.05
Bol Bol,2022-23,ORL,Athletic Finisher,"1,505",PF,23,-1.01,-2.17,1.16,1.4,-0.5,-1.98,1.48
Louis King,2022-23,PHI,Low Minute,29,SF,24,-1.02,-0.32,-0.7,0,-1,-0.33,-0.67
Caleb Martin,2022-23,MIA,Movement Shooter,"2,078",PF,27,-1.02,-1.56,0.54,1.9,-0.92,-1.67,0.75
A.J. Lawson,2022-23,MIN/DAL,Athletic Finisher,108,SG,22,-1.03,-0.24,-0.79,0.1,-0.65,-0.17,-0.48
Nerlens Noel,2022-23,DET/BRK,Roll + Cut Big,195,C,29,-1.03,-1.76,0.73,0.2,-0.58,-1.27,0.7
Ty Jerome,2022-23,GSW,Secondary Ball Handler,816,SG,25,-1.03,-0.4,-0.63,0.7,-0.7,-0.44,-0.26
Zach Collins,2022-23,SAS,Post Scorer,"1,441",C,25,-1.03,-1.12,0.08,1.3,-1.67,-1.24,-0.42
Ryan Arcidiacono,2022-23,NYK/POR,Secondary Ball Handler,172,PG,29,-1.04,-1.36,0.32,0.2,-1.04,-0.91,-0.13
Jalen Green,2022-23,HOU,Primary Ball Handler,"2,602",SG,21,-1.05,0.76,-1.8,2.3,-1.43,0.52,-1.95
Keita Bates-Diop,2022-23,SAS,Stretch Big,"1,452",SF,27,-1.05,-0.81,-0.24,1.3,-1.77,-0.92,-0.85
Keldon Johnson,2022-23,SAS,Secondary Ball Handler,"2,063",SF,23,-1.05,0.46,-1.51,1.8,-1.82,0.24,-2.06
Dario Saric,2022-23,PHO/OKC,Stretch Big,806,PF,29,-1.05,-0.84,-0.21,0.7,-0.89,-0.68,-0.21
Jeremy Sochan,2022-23,SAS,Athletic Finisher,"1,458",PF,19,-1.05,-1.15,0.1,1.3,-2.45,-1.73,-0.71
Rudy Gay,2022-23,UTA,Stationary Shooter,816,PF,36,-1.05,-1.41,0.36,0.7,-1.3,-1.15,-0.15
Jeenathan Williams,2022-23,POR,Athletic Finisher,127,SG,24,-1.06,-0.49,-0.56,0.1,-0.9,-0.67,-0.24
Precious Achiuwa,2022-23,TOR,Athletic Finisher,"1,140",C,23,-1.06,-0.65,-0.41,1,-0.9,-0.98,0.09
Mfiondu Kabengele,2022-23,BOS,Low Minute,36,PF,25,-1.07,-0.51,-0.56,0,-0.93,-0.43,-0.51
Day'Ron Sharpe,2022-23,BRK,Roll + Cut Big,553,C,21,-1.08,-0.71,-0.37,0.5,-0.99,-1.1,0.1
George Hill,2022-23,MIL/IND,Secondary Ball Handler,833,PG,36,-1.09,-1.16,0.07,0.7,-1.39,-1.25,-0.14
Trey Murphy III,2022-23,NOP,Stationary Shooter,"2,448",SF,22,-1.1,-0.85,-0.25,2.1,0.61,0.18,0.43
Ochai Agbaji,2022-23,UTA,Movement Shooter,"1,209",SG,22,-1.11,0.37,-1.48,1,-2.32,-0.94,-1.38
Ryan Rollins,2022-23,GSW,Low Minute,62,PG,20,-1.11,-0.81,-0.3,0.1,-0.64,-0.48,-0.15
Joe Wieskamp,2022-23,TOR,Low Minute,50,SF,23,-1.12,-0.89,-0.23,0,-1.24,-0.75,-0.49
Jordan Clarkson,2022-23,UTA,Secondary Ball Handler,"1,988",SG,30,-1.13,1.08,-2.21,1.6,-0.68,1.24,-1.92
Darius Bazley,2022-23,OKC/PHO,Athletic Finisher,616,PF,22,-1.13,-2,0.87,0.5,-0.39,-1.4,1.01
JD Davison,2022-23,BOS,Low Minute,66,PG,20,-1.13,-0.54,-0.59,0.1,-0.86,-0.44,-0.42
Joe Ingles,2022-23,MIL,Secondary Ball Handler,"1,044",SF,35,-1.15,-0.75,-0.39,0.8,-1.05,-1.14,0.1
Terry Taylor,2022-23,IND/CHI,Athletic Finisher,263,PF,23,-1.16,-0.73,-0.43,0.2,-2.18,-1.4,-0.78
Josh Giddey,2022-23,OKC,Slasher,"2,367",SG,20,-1.17,-0.55,-0.62,1.9,0.23,0.36,-0.14
Eric Gordon,2022-23,HOU/LAC,Secondary Ball Handler,"1,965",SG,34,-1.17,-0.57,-0.6,1.6,-1.41,-0.64,-0.77
Kenyon Martin Jr.,2022-23,HOU,Stretch Big,"2,292",SF,22,-1.17,0.36,-1.53,1.8,-1.86,-0.78,-1.08
Patrick Beverley,2022-23,LAL/CHI,Stationary Shooter,"1,817",PG,34,-1.17,-2.19,1.02,1.4,-0.34,-1.58,1.24
Moussa Diabate,2022-23,LAC,Roll + Cut Big,195,PF,21,-1.19,-1.11,-0.08,0.2,-1.32,-1.11,-0.21
AJ Griffin,2022-23,ATL,Off Screen Shooter,"1,401",SF,19,-1.2,-0.23,-0.97,1.1,-1.79,-0.6,-1.19
Jared Butler,2022-23,OKC,Low Minute,77,SG,22,-1.21,-0.49,-0.72,0.1,-0.89,-0.43,-0.46
Luke Kornet,2022-23,BOS,Roll + Cut Big,804,C,27,-1.22,-1.3,0.08,0.6,-0.5,-1.22,0.72
Eugene Omoruyi,2022-23,OKC/DET,Stretch Big,645,SF,26,-1.22,-0.34,-0.88,0.5,-1.35,-0.72,-0.63
Kennedy Chandler,2022-23,MEM,Secondary Ball Handler,281,PG,20,-1.22,-0.93,-0.3,0.2,-1.23,-0.98,-0.25
Meyers Leonard,2022-23,MIL,Stretch Big,114,C,31,-1.23,-0.87,-0.36,0.1,-0.93,-0.77,-0.17
Jalen Duren,2022-23,DET,Roll + Cut Big,"1,670",C,19,-1.23,-0.91,-0.32,1.3,-1.36,-1.5,0.14
Anthony Lamb,2022-23,GSW,Athletic Finisher,"1,195",SF,25,-1.24,-1.22,-0.03,0.9,-1.2,-1.24,0.05
Ousmane Dieng,2022-23,OKC,Stationary Shooter,569,SF,19,-1.25,-1.02,-0.22,0.4,-1.61,-1.28,-0.34
Devin Vassell,2022-23,SAS,Secondary Ball Handler,"1,178",SG,22,-1.26,-0.46,-0.79,0.9,-0.47,0.33,-0.8
Aaron Wiggins,2022-23,OKC,Stretch Big,"1,297",SG,24,-1.26,-1.08,-0.18,1,-2.01,-1.52,-0.49
Vit Krejci,2022-23,ATL,Athletic Finisher,165,PG,22,-1.27,-1,-0.27,0.1,-1.28,-1.15,-0.13
Raul Neto,2022-23,CLE,Secondary Ball Handler,505,PG,30,-1.27,-0.95,-0.32,0.4,-1.45,-1.14,-0.31
Rodney McGruder,2022-23,DET,Movement Shooter,524,SG,31,-1.28,-0.79,-0.49,0.4,-1.58,-0.91,-0.67
Taj Gibson,2022-23,WAS,Roll + Cut Big,480,C,37,-1.28,-1.79,0.51,0.3,-1.6,-2.01,0.41
Wendell Moore Jr.,2022-23,MIN,Movement Shooter,153,SG,21,-1.28,-0.65,-0.63,0.1,-1.03,-0.78,-0.25
Jaxson Hayes,2022-23,NOP,Roll + Cut Big,610,C,22,-1.29,-1.81,0.51,0.4,-0.72,-1.34,0.63
Serge Ibaka,2022-23,MIL,Stretch Big,185,C,33,-1.29,-1.59,0.3,0.1,-1.25,-1.37,0.13
Luke Kennard,2022-23,LAC/MEM,Off Screen Shooter,"1,315",SG,26,-1.3,-0.47,-0.83,0.9,-1.48,-0.72,-0.76
Evan Fournier,2022-23,NYK,Movement Shooter,459,SG,30,-1.31,-0.82,-0.49,0.3,-1.38,-0.85,-0.52
Isaac Okoro,2022-23,CLE,Stationary Shooter,"1,652",SF,22,-1.31,-1.97,0.66,1.2,-0.91,-1.66,0.75
Peyton Watson,2022-23,DEN,Athletic Finisher,186,SG,20,-1.32,-1.04,-0.27,0.1,-1.13,-1.21,0.08
Brandon Boston Jr.,2022-23,LAC,Secondary Ball Handler,248,SG,21,-1.32,-0.49,-0.83,0.2,-1.1,-0.36,-0.74
RJ Barrett,2022-23,NYK,Secondary Ball Handler,"2,475",SG,22,-1.32,0.01,-1.33,1.7,-0.38,0.31,-0.69
Jae'Sean Tate,2022-23,HOU,Athletic Finisher,678,SF,27,-1.33,-1.41,0.07,0.5,-1.38,-1.27,-0.11
Gabe Vincent,2022-23,MIA,Stationary Shooter,"1,759",PG,26,-1.34,-1.09,-0.24,1.2,-1.68,-1.44,-0.24
Julian Champagnie,2022-23,PHI/SAS,Movement Shooter,320,SF,21,-1.35,-0.21,-1.15,0.2,-1.03,-0.47,-0.56
Danny Green,2022-23,MEM/CLE,Off Screen Shooter,139,SG,35,-1.35,-0.74,-0.62,0.1,-1.08,-0.55,-0.53
Dean Wade,2022-23,CLE,Stationary Shooter,891,PF,26,-1.36,-2.82,1.46,0.6,-1.26,-2.26,1
T.J. Warren,2022-23,BRK/PHO,Athletic Finisher,687,SF,29,-1.37,-0.52,-0.86,0.5,-1.64,-1.12,-0.52
John Wall,2022-23,LAC,Shot Creator,755,PG,32,-1.38,-0.64,-0.74,0.5,0.04,0.65,-0.61
Matthew Dellavedova,2022-23,SAC,Secondary Ball Handler,213,PG,32,-1.38,-1.31,-0.07,0.1,-1.19,-0.99,-0.19
Torrey Craig,2022-23,PHO,Athletic Finisher,"1,948",SF,32,-1.38,-1.78,0.4,1.3,-0.88,-1.7,0.83
Kelly Oubre Jr.,2022-23,CHO,Stationary Shooter,"1,548",SF,27,-1.38,-0.45,-0.93,1,-0.56,0.04,-0.6
Stanley Johnson,2022-23,SAS,Stationary Shooter,469,SF,26,-1.41,-1.03,-0.38,0.3,-1.43,-1.53,0.09
Chris Duarte,2022-23,IND,Secondary Ball Handler,897,SF,25,-1.41,-0.52,-0.89,0.6,-2.33,-1.19,-1.15
Vince Williams Jr.,2022-23,MEM,Movement Shooter,105,SG,22,-1.42,-0.86,-0.57,0.1,-1.2,-0.74,-0.46
Shake Milton,2022-23,PHI,Slasher,"1,567",SG,26,-1.45,-0.1,-1.35,1,-1.73,-0.76,-0.98
Damion Lee,2022-23,PHO,Movement Shooter,"1,506",SG,30,-1.46,-1.53,0.08,0.9,-2.02,-1.42,-0.6
Jarred Vanderbilt,2022-23,UTA/LAL,Roll + Cut Big,"1,880",PF,24,-1.47,-1.31,-0.16,1.1,0.4,-0.67,1.06
Pat Connaughton,2022-23,MIL,Stationary Shooter,"1,443",SG,30,-1.47,-0.74,-0.73,0.9,-0.37,-0.77,0.4
Theo Pinson,2022-23,DAL,Stationary Shooter,323,SG,27,-1.48,-0.26,-1.22,0.2,-0.51,-0.25,-0.26
Jordan Poole,2022-23,GSW,Primary Ball Handler,"2,458",PG,23,-1.48,-0.38,-1.1,1.5,0.04,1.37,-1.33
Norman Powell,2022-23,LAC,Secondary Ball Handler,"1,567",SG,29,-1.49,-0.3,-1.19,0.9,-0.31,0.59,-0.9
Nathan Knight,2022-23,MIN,Athletic Finisher,291,PF,25,-1.49,-0.98,-0.5,0.2,-1.61,-1.18,-0.43
Cody Martin,2022-23,CHO,Secondary Ball Handler,134,SF,27,-1.49,-0.97,-0.52,0.1,-0.92,-0.85,-0.08
Trendon Watford,2022-23,POR,Athletic Finisher,"1,182",PF,22,-1.5,-0.86,-0.64,0.7,-1.64,-1.45,-0.19
Matt Ryan,2022-23,LAL/MIN,Off Screen Shooter,310,SF,25,-1.52,-0.25,-1.27,0.2,-1.19,-0.28,-0.91
Gordon Hayward,2022-23,CHO,Secondary Ball Handler,"1,577",SF,33,-1.52,-1.25,-0.27,0.9,-1.47,-1.03,-0.44
Johnny Juzang,2022-23,UTA,Movement Shooter,232,SF,22,-1.53,-0.9,-0.63,0.1,-1.19,-0.62,-0.58
JaMychal Green,2022-23,GSW,Stretch Big,797,PF,32,-1.53,-1.49,-0.03,0.5,-0.44,-0.61,0.17
Jeff Dowtin Jr.,2022-23,TOR,Shot Creator,259,PG,25,-1.53,-1.05,-0.49,0.1,-1.7,-1.27,-0.43
Garrett Temple,2022-23,NOP,Movement Shooter,162,SG,36,-1.55,-1.3,-0.25,0.1,-1.32,-1.07,-0.25
Josh Green,2022-23,DAL,Stationary Shooter,"1,539",SG,22,-1.55,-1.07,-0.48,0.9,-2.17,-1.25,-0.92
Isaiah Roby,2022-23,SAS,Stationary Shooter,474,PF,25,-1.56,-1.75,0.19,0.3,-1.78,-1.99,0.22
Davis Bertans,2022-23,DAL,Movement Shooter,492,PF,30,-1.57,-0.28,-1.28,0.3,-0.87,-0.06,-0.81
Justise Winslow,2022-23,POR,Athletic Finisher,776,SF,27,-1.58,-2.25,0.67,0.4,-1.93,-1.97,0.04
KZ Okpala,2022-23,SAC,Stationary Shooter,248,PF,23,-1.58,-2.55,0.97,0.1,-1.94,-2.48,0.53
Usman Garuba,2022-23,HOU,Stretch Big,970,PF,21,-1.58,-2.16,0.58,0.5,-0.89,-1.99,1.1
Markieff Morris,2022-23,BRK/DAL,Stationary Shooter,355,PF,33,-1.62,-1.22,-0.39,0.2,-1.36,-0.95,-0.41
Gary Harris,2022-23,ORL,Movement Shooter,"1,184",SG,28,-1.63,-1.26,-0.37,0.6,-0.97,-1.17,0.2
Kai Jones,2022-23,CHO,Athletic Finisher,550,C,22,-1.63,-3.14,1.51,0.3,-2.19,-3.46,1.28
Malachi Flynn,2022-23,TOR,Secondary Ball Handler,691,PG,24,-1.63,-0.54,-1.1,0.3,-2.17,-1.28,-0.9
Moses Moody,2022-23,GSW,Stationary Shooter,817,SG,20,-1.64,-1.01,-0.63,0.4,-1.78,-1.14,-0.64
Justin Jackson,2022-23,BOS,Off Screen Shooter,107,SF,28,-1.64,-1.13,-0.51,0.1,-0.93,-0.7,-0.23
Yuta Watanabe,2022-23,BRK,Stationary Shooter,928,SF,28,-1.65,-1,-0.65,0.5,-1.83,-1.48,-0.35
Admiral Schofield,2022-23,ORL,Athletic Finisher,451,PF,26,-1.65,-1.44,-0.22,0.2,-1.88,-1.45,-0.43
Haywood Highsmith,2022-23,MIA,Stretch Big,969,SF,26,-1.69,-2.5,0.81,0.5,-1.95,-2.59,0.64
Joe Harris,2022-23,BRK,Movement Shooter,"1,527",SG,31,-1.7,-0.38,-1.33,0.7,-1.85,-0.9,-0.94
Josh Richardson,2022-23,SAS/NOP,Movement Shooter,"1,530",SG,29,-1.71,-1.42,-0.3,0.7,-1.48,-0.73,-0.75
De'Andre Hunter,2022-23,ATL,Stationary Shooter,"2,126",SF,25,-1.71,-1.24,-0.47,1,-1.45,-0.83,-0.62
Max Strus,2022-23,MIA,Movement Shooter,"2,272",SF,27,-1.72,-0.98,-0.73,1,-1.13,-0.54,-0.58
Tre Mann,2022-23,OKC,Secondary Ball Handler,"1,183",PG,22,-1.74,-1.15,-0.59,0.5,-1.63,-0.86,-0.78
Mamadi Diakite,2022-23,CLE,Stretch Big,176,PF,26,-1.74,-1.7,-0.05,0.1,-1.63,-1.58,-0.05
Rui Hachimura,2022-23,WAS/LAL,Athletic Finisher,"1,466",PF,25,-1.74,-1.74,0,0.6,-1.57,-1.07,-0.5
John Butler Jr.,2022-23,POR,Movement Shooter,221,C,20,-1.75,-1.79,0.04,0.1,-1.38,-1.65,0.27
Otto Porter Jr.,2022-23,TOR,Stretch Big,146,SF,29,-1.76,-1.22,-0.54,0.1,-1.54,-1.24,-0.3
Khem Birch,2022-23,TOR,Roll + Cut Big,162,C,30,-1.77,-2.08,0.32,0.1,-2.11,-2.04,-0.08
Collin Sexton,2022-23,UTA,Slasher,"1,145",SG,24,-1.77,0.12,-1.89,0.5,-1.4,0.19,-1.59
