,player_name,player_id,season,poss,mp,raptor_box_offense,raptor_box_defense,raptor_box_total,raptor_onoff_offense,raptor_onoff_defense,raptor_onoff_total,raptor_offense,raptor_defense,raptor_total,war_total,war_reg_season,war_playoffs,predator_offense,predator_defense,predator_total,pace_impact
21,Darius Garland,garlada01,2023,5317,2636,3.363655323915465,0.7509881656497143,4.11464348956518,3.475713322170243,0.3895407483521879,3.865254070522432,3.572853959689732,0.6748075021361941,4.247661461825927,9.35737585755842,8.94894609993373,0.4084297576246902,3.349442170316459,1.338786651588733,4.688228821905192,-0.4989302445898972
22,Paul George,georgpa01,2023,3977,1939,2.744437304968915,1.674035651602052,4.418472956570966,3.60783981977948,1.342430077431106,4.950269897210586,3.096958986455607,1.698119096259202,4.795078082714809,7.519928176099091,7.519928176099091,0.0,3.20620113248696,1.964256509212981,5.170457641699941,0.7538750555280302
23,Shai Gilgeous-Alexander,gilgesh01,2023,5208,2416,5.376663625555934,-0.0160990922592386,5.360564533296695,1.96924037061297,0.8885475457485517,2.857787916361521,5.012311545388262,0.1616610151844195,5.173972560572682,9.862722665543249,9.862722665543249,0.0,4.426448747236767,0.8903252269288734,5.316773974165641,0.9847185218437746
24,Aaron Gordon,gordoaa01,2023,5715,2768,0.6973194967823577,0.2875414481105714,0.984860944892929,6.263581026019827,2.856009258072025,9.119590284091853,1.846917360314256,0.8296767873312045,2.67659414764546,7.699681064080543,5.986789385272491,1.712891678808052,2.079612109675623,0.3902148465606403,2.469826956236264,-0.0526806061403688
25,Tim Hardaway Jr.,hardati02,2023,4367,2152,0.4314099179987457,1.463242616171843,1.894652534170589,3.423487344541165,1.968220963616968,5.391708308158133,1.055239155195455,1.683513135417521,2.738752290612977,6.014718648253143,6.014718648253143,0.0,1.351594456044241,1.255223708629229,2.60681816467347,-0.1952750005685656
26,Josh Hart,hartjo01,2023,5752,2807,0.4512005254336036,1.397464725421688,1.848665250855291,4.175917291618195,1.660874579239474,5.836791870857668,1.23490703949611,1.558959347935709,2.793866387431818,7.930758786058835,7.34879540585642,0.5819633802024149,0.8053237035083035,1.83779221435634,2.643115917864643,-0.0486302813929155
27,Sam Hauser,hausesa01,2023,2946,1394,1.261189625504639,0.7125463427159019,1.973735968220541,0.3705053748059848,2.053595650351947,2.424101025157932,1.112808060279963,0.9839224508782796,2.096730511158242,3.445132650028996,3.26527458280784,0.1798580672211561,1.057808779500308,0.2489684909916026,1.306777270491911,-0.2055699576036888
28,Jrue Holiday,holidjr01,2023,5086,2374,2.910950239399687,1.768381485365704,4.679331724765391,5.353841863965127,3.148623586235302,8.502465450200429,3.585546284619099,2.121102398367697,5.706648682986796,10.34577218499576,9.31142484134262,1.034347343653139,3.967933976547565,1.735766160420547,5.703700136968111,0.715329481631145
29,Al Horford,horfoal01,2023,5234,2539,-0.5078495522121929,2.161990177145572,1.65414062493338,1.951336718628906,1.004827326505154,2.95616404513406,-0.0450865546474625,2.01719016080534,1.972103606157877,6.184156057017997,3.962391236894511,2.221764820123486,-0.1621866906189187,2.262417155164144,2.100230464545226,-0.4449597537514386
30,Kyrie Irving,irvinky01,2023,4597,2241,5.674015145293312,0.4228709790357167,6.096886124329029,3.818152787679755,-0.0310042750837545,3.787148512596,5.614029837890303,0.353835280072709,5.967865117963013,9.952435021922502,9.952435021922502,0.0,5.855132436182486,1.00367845706674,6.858810893249228,-0.1546662392060018
31,Jaren Jackson Jr.,jacksja02,2023,4310,2007,0.2510117475854465,2.210300226896117,2.461311974481563,1.339691726054076,3.562486312432993,4.902178038487069,0.4846646905317324,2.57843573449277,3.063100425024503,5.982927408020803,6.119557126527731,-0.136629718506928,0.189279758207111,2.661046088295221,2.850325846502332,0.948478006598256
32,LeBron James,jamesle01,2023,5487,2573,4.083170315011615,-0.2374732794986658,3.845697035512949,3.701910335825574,1.255314917949535,4.95722525377511,4.277237802951439,0.0267768285085704,4.30401463146001,9.375381329638682,7.212252957153561,2.163128372485121,4.115699997421869,-0.4371342247313471,3.678565772690521,0.5805521011284973
33,Isaiah Joe,joeis01,2023,3006,1395,2.47838405511869,0.3929183825160442,2.871302437634734,2.868844519020573,-0.1513370972078499,2.717507421812723,2.705630443572103,0.2900487238551408,2.995679167427244,4.090392198106888,4.090392198106888,0.0,2.453923280585075,0.416321232518296,2.870244513103371,0.0253166121424474
